Numero objet,Configuration
0,35
1,9
2,12
3,6
4,14
5,7
6,4
7,7
8,6
La somme de memoire :,100
La plus grande memoire  est de :,35
La restriction S/V est de :,2
Le nombre de canaux :,3
----------------------------end---------------------------- 
