Numero objet,Tour de Diffusion
0,17
----------------------------end---------------------------- 
Numero objet,Tour de Diffusion
0,17
1,17
----------------------------end---------------------------- 
Numero objet,Tour de Diffusion
0,17
1,17
2,16
----------------------------end---------------------------- 
Numero objet,Tour de Diffusion
0,17
1,17
2,16
3,16
----------------------------end---------------------------- 
Numero objet,Tour de Diffusion
0,17
1,17
2,16
3,16
4,17
----------------------------end---------------------------- 
Numero objet,Tour de Diffusion
0,17
1,17
2,17
3,16
4,16
5,17
----------------------------end---------------------------- 
Numero objet,Tour de Diffusion
0,17
1,17
2,17
3,16
4,16
5,17
6,17
----------------------------end---------------------------- 
Numero objet,Tour de Diffusion
0,17
1,17
2,17
3,16
4,16
5,17
6,17
7,17
----------------------------end---------------------------- 
Numero objet,Tour de Diffusion
0,17
1,17
2,17
3,17
4,16
5,16
6,17
7,17
8,17
----------------------------end---------------------------- 
